Date/Time,Year,Month,Day,Time,Data Quality,Temp (C),Temp Flag,Dew Point Temp (C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
2012-04-01 21:00,2012,4,1,21:00,,7.2,,3.2,,76,,10,,13,,32.2,,101.98,,,,,,Mostly Cloudy
2012-04-01 22:00,2012,4,1,22:00,,6.6,,3.1,,78,,10,,19,,32.2,,102.01,,,,,,Mostly Cloudy
2012-04-01 23:00,2012,4,1,23:00,,6.8,,3.5,,79,,10,,13,,32.2,,102.08,,,,,,Cloudy
2012-04-02 00:00,2012,4,2,00:00,,7.2,,2.9,,74,,13,,22,,32.2,,102.11,,,,,,Cloudy
2012-04-02 01:00,2012,4,2,01:00,,7.1,,2.8,,74,,11,,22,,32.2,,102.11,,,,,,Cloudy
2012-04-02 02:00,2012,4,2,02:00,,7.3,,3.2,,75,,11,,17,,32.2,,102.12,,,,,,Cloudy
2012-04-02 03:00,2012,4,2,03:00,,7.4,,3,,74,,14,,20,,32.2,,102.13,,,,,,Cloudy
2012-04-02 04:00,2012,4,2,04:00,,7.5,,2.7,,72,,14,,28,,32.2,,102.16,,,,,,Cloudy
2012-04-02 05:00,2012,4,2,05:00,,7.4,,2.6,,72,,13,,24,,32.2,,102.15,,,,,,Cloudy
2012-04-02 06:00,2012,4,2,06:00,,7.7,,2.2,,68,,12,,28,,24.1,,102.14,,,,,,Cloudy
2012-04-02 07:00,2012,4,2,07:00,,7.3,,1.9,,69,,10,,22,,24.1,,102.15,,,,,,Cloudy
2012-04-02 08:00,2012,4,2,08:00,,8.3,,2,,64,,10,,28,,24.1,,102.12,,,,,,Cloudy
2012-04-02 09:00,2012,4,2,09:00,,8.9,,1.6,,60,,12,,33,,24.1,,102.1,,,,,,Cloudy
2012-04-02 10:00,2012,4,2,10:00,,9.4,,1.8,,59,,12,,41,,24.1,,101.99,,,,,,Cloudy
2012-04-02 11:00,2012,4,2,11:00,,9.8,,2.7,,61,,9,,22,,24.1,,102,,,,,,Cloudy
2012-04-02 12:00,2012,4,2,12:00,,11.3,,2.8,,56,,9,,19,,24.1,,101.91,,,,,,Mostly Cloudy
2012-04-02 13:00,2012,4,2,13:00,,12.9,,3,,51,,11,,24,,24.1,,101.8,,,,,,Mostly Cloudy
2012-04-02 14:00,2012,4,2,14:00,,12.4,,2.6,,51,,11,,22,,24.1,,101.71,,,,,,Cloudy
2012-04-02 15:00,2012,4,2,15:00,,13.3,,3.1,,50,,10,,24,,24.1,,101.61,,,,,,Cloudy
2012-04-02 16:00,2012,4,2,16:00,,12.3,,2.1,,50,,9,,26,,24.1,,101.45,,,,,,Cloudy
2012-04-02 17:00,2012,4,2,17:00,,12.2,,1.9,,49,,9,,28,,24.1,,101.35,,,,,,Cloudy
2012-04-02 18:00,2012,4,2,18:00,,11.3,,2.7,,55,,10,,20,,24.1,,101.23,,,,,,Cloudy
2012-04-02 19:00,2012,4,2,19:00,,11,,2.7,,57,,9,,20,,24.1,,101.17,,,,,,Cloudy
2012-04-02 20:00,2012,4,2,20:00,,11.3,,2.8,,56,,9,,19,,24.1,,101.13,,,,,,Cloudy
2012-04-02 21:00,2012,4,2,21:00,,10.3,,4.2,,66,,8,,20,,24.1,,101.12,,,,,,Rain
2012-04-02 22:00,2012,4,2,22:00,,9.8,,4.8,,71,,10,,17,,24.1,,101.1,,,,,,Rain
2012-04-02 23:00,2012,4,2,23:00,,9.6,,4.6,,71,,8,,19,,24.1,,101.04,,,,,,Rain
2012-04-03 00:00,2012,4,3,00:00,,10,,4.2,,67,,7,,17,,24.1,,100.92,,,,,,Rain Showers
2012-04-03 01:00,2012,4,3,01:00,,9.5,,4.8,,72,,8,,11,,24.1,,100.85,,,,,,Cloudy
2012-04-03 02:00,2012,4,3,02:00,,8.8,,4.6,,75,,10,,11,,24.1,,100.77,,,,,,Cloudy
2012-04-03 03:00,2012,4,3,03:00,,9.4,,3.6,,67,,9,,19,,24.1,,100.66,,,,,,Cloudy
2012-04-03 04:00,2012,4,3,04:00,,9.3,,3.4,,67,,10,,13,,24.1,,100.59,,,,,,Cloudy
2012-04-03 05:00,2012,4,3,05:00,,8.9,,3.6,,69,,9,,17,,24.1,,100.54,,,,,,Rain Showers
2012-04-03 06:00,2012,4,3,06:00,,10,,2.8,,61,,11,,11,,24.1,,100.53,,,,,,Rain Showers
2012-04-03 07:00,2012,4,3,07:00,,8.7,,4,,72,,9,,17,,16.1,,100.53,,,,,,Rain
2012-04-03 08:00,2012,4,3,08:00,,6.3,,3.9,,85,,31,,35,,12.9,,100.58,,,,,,Rain
2012-04-03 09:00,2012,4,3,09:00,,5.6,,3,,83,,29,,32,,12.9,,100.72,,,,,,Rain
2012-04-03 10:00,2012,4,3,10:00,,6,,3.6,,85,,31,,15,,12.9,,100.83,,,,,,Rain
2012-04-03 11:00,2012,4,3,11:00,,5.8,,3.5,,85,,31,,6,,16.1,,100.92,,,,,,Rain
2012-04-03 12:00,2012,4,3,12:00,,5.9,,2.7,,80,,16,,6,,16.1,,101.04,,,,,,Rain
2012-04-03 13:00,2012,4,3,13:00,,6.6,,2.7,,76,,,,0,,24.1,,101.13,,,,,,Rain
2012-04-03 14:00,2012,4,3,14:00,,7.1,,3.4,,77,,12,,11,,24.1,,101.22,,,,,,Cloudy
2012-04-03 15:00,2012,4,3,15:00,,9,,4.3,,72,,11,,13,,24.1,,101.24,,,,,,Mostly Cloudy
2012-04-03 16:00,2012,4,3,16:00,,7.8,,3.2,,73,,13,,19,,24.1,,101.27,,,,,,Mostly Cloudy
2012-04-03 17:00,2012,4,3,17:00,,7.1,,3.6,,78,,13,,26,,24.1,,101.33,,,,,,Rain
2012-04-03 18:00,2012,4,3,18:00,,6.7,,4,,83,,14,,22,,24.1,,101.33,,,,,,Mostly Cloudy
2012-04-03 19:00,2012,4,3,19:00,,6.6,,2.4,,75,,14,,17,,24.1,,101.37,,,,,,Mostly Cloudy
2012-04-03 20:00,2012,4,3,20:00,,5.9,,2.1,,77,,14,,19,,24.1,,101.45,,,,,,Mainly Clear
2012-04-03 21:00,2012,4,3,21:00,,3.8,,0.9,,81,,9,,9,,24.1,,101.51,,,,,,Mainly Clear
2012-04-03 22:00,2012,4,3,22:00,,3,,0.4,,83,,10,,17,,24.1,,101.52,,,,,,Mainly Clear
2012-04-03 23:00,2012,4,3,23:00,,4.4,,1.9,,84,,13,,11,,24.1,,101.54,,,,,,Cloudy
2012-04-04 00:00,2012,4,4,00:00,,3.9,,1.6,,85,,8,,11,,24.1,,101.53,,,,,,Mostly Cloudy
2012-04-04 01:00,2012,4,4,01:00,,3.7,,1.3,,84,,13,,7,,24.1,,101.52,,,,,,Mainly Clear
2012-04-04 02:00,2012,4,4,02:00,,1.8,,-0.4,,85,,9,,11,,24.1,,101.49,,,,,,Mainly Clear
2012-04-04 03:00,2012,4,4,03:00,,2.1,,-0.2,,85,,7,,11,,24.1,,101.52,,,,,,Mostly Cloudy
2012-04-04 04:00,2012,4,4,04:00,,2.1,,-0.1,,85,,12,,9,,24.1,,101.51,,,,,,Mostly Cloudy
2012-04-04 05:00,2012,4,4,05:00,,2.1,,0.4,,88,,7,,6,,24.1,,101.53,,,,,,Mostly Cloudy
2012-04-04 06:00,2012,4,4,06:00,,3.3,,1.6,,89,,3,,4,,24.1,,101.56,,,,,,Mostly Cloudy
2012-04-04 07:00,2012,4,4,07:00,,4.3,,2.2,,86,,35,,9,,32.2,,101.55,,,,,,Mainly Clear
2012-04-04 08:00,2012,4,4,08:00,,5.9,,2.1,,77,,34,,4,,32.2,,101.59,,,,,,Mostly Cloudy
2012-04-04 09:00,2012,4,4,09:00,,6.2,,2.4,,77,,29,,15,,32.2,,101.58,,,,,,Mainly Clear
2012-04-04 10:00,2012,4,4,10:00,,7.4,,2.7,,72,,24,,13,,32.2,,101.62,,,,,,Mainly Clear
2012-04-04 11:00,2012,4,4,11:00,,7.3,,2.9,,74,,24,,15,,32.2,,101.64,,,,,,Mainly Clear
2012-04-04 12:00,2012,4,4,12:00,,7.9,,3.5,,74,,20,,19,,32.2,,101.66,,,,,,Mainly Clear
2012-04-04 13:00,2012,4,4,13:00,,7.8,,3.6,,75,,27,,11,,32.2,,101.69,,,,,,Mainly Clear
2012-04-04 14:00,2012,4,4,14:00,,8.4,,2.7,,67,,25,,9,,32.2,,101.7,,,,,,Mainly Clear
2012-04-04 15:00,2012,4,4,15:00,,7.8,,2.8,,71,,23,,15,,32.2,,101.69,,,,,,Mostly Cloudy
2012-04-04 16:00,2012,4,4,16:00,,7.9,,1.8,,65,,25,,11,,32.2,,101.71,,,,,,Mostly Cloudy
2012-04-04 17:00,2012,4,4,17:00,,7.6,,1.4,,65,,23,,9,,32.2,,101.75,,,,,,Mostly Cloudy
2012-04-04 18:00,2012,4,4,18:00,,7.4,,1.9,,68,,25,,7,,32.2,,101.77,,,,,,Mostly Cloudy
2012-04-04 19:00,2012,4,4,19:00,,6.3,,2.5,,77,,28,,7,,32.2,,101.8,,,,,,Mostly Cloudy
2012-04-04 20:00,2012,4,4,20:00,,6.8,,2.5,,74,,25,,7,,32.2,,101.85,,,,,,Mostly Cloudy
2012-04-04 21:00,2012,4,4,21:00,,5.6,,2,,78,,10,,6,,32.2,,101.85,,,,,,Mostly Cloudy
2012-04-04 22:00,2012,4,4,22:00,,5.6,,2.5,,80,,10,,4,,32.2,,101.85,,,,,,Mainly Clear
2012-04-04 23:00,2012,4,4,23:00,,3.9,,0.3,,77,,9,,7,,32.2,,101.88,,,,,,Mainly Clear
2012-04-05 00:00,2012,4,5,00:00,,3.9,,0.8,,80,,10,,7,,32.2,,101.9,,,,,,Mainly Clear
2012-04-05 01:00,2012,4,5,01:00,,3,,-0.1,,80,,6,,7,,32.2,,101.93,,,,,,Mainly Clear
2012-04-05 02:00,2012,4,5,02:00,,3.9,,0.9,,81,,10,,7,,32.2,,101.94,,,,,,Mostly Cloudy
2012-04-05 03:00,2012,4,5,03:00,,3.1,,0.1,,81,,3,,4,,24.1,,101.95,,,,,,Mostly Cloudy
2012-04-05 04:00,2012,4,5,04:00,,4.1,,0.7,,78,,,,0,,24.1,,101.95,,,,,,Mostly Cloudy
2012-04-05 05:00,2012,4,5,05:00,,4.2,,1.2,,81,,36,,6,,24.1,,101.98,,,,,,Mostly Cloudy
2012-04-05 06:00,2012,4,5,06:00,,4.7,,1.4,,79,,,,0,,32.2,,101.99,,,,,,Mostly Cloudy
2012-04-05 07:00,2012,4,5,07:00,,5.7,,1.6,,75,,24,,4,,32.2,,102.03,,,,,,Mostly Cloudy
2012-04-05 08:00,2012,4,5,08:00,,6.3,,2.7,,78,,26,,13,,32.2,,102.05,,,,,,Cloudy
2012-04-05 09:00,2012,4,5,09:00,,6.5,,2.5,,76,,27,,11,,24.1,,102.06,,,,,,Cloudy
2012-04-05 10:00,2012,4,5,10:00,,6.6,,2.3,,74,,28,,13,,24.1,,102.07,,,,,,Mostly Cloudy
2012-04-05 11:00,2012,4,5,11:00,,7.9,,3.3,,73,,28,,13,,24.1,,102.06,,,,,,Mostly Cloudy
2012-04-05 12:00,2012,4,5,12:00,,8.9,,4.5,,74,,28,,15,,32.2,,102.04,,,,,,Mostly Cloudy
2012-04-05 13:00,2012,4,5,13:00,,8.8,,3.9,,71,,30,,17,,32.2,,102.02,,,,,,Mostly Cloudy
2012-04-05 14:00,2012,4,5,14:00,,8.6,,2.9,,67,,27,,11,,32.2,,101.98,,,,,,Mostly Cloudy
2012-04-05 15:00,2012,4,5,15:00,,8.9,,2.6,,65,,28,,11,,32.2,,101.94,,,,,,Mainly Clear
2012-04-05 16:00,2012,4,5,16:00,,8.7,,2.4,,65,,25,,11,,32.2,,101.94,,,,,,Mainly Clear
2012-04-05 17:00,2012,4,5,17:00,,8.8,,1.6,,61,,27,,11,,32.2,,101.93,,,,,,Mainly Clear
2012-04-05 18:00,2012,4,5,18:00,,8.2,,1.5,,63,,26,,7,,32.2,,101.93,,,,,,Mainly Clear
2012-04-05 19:00,2012,4,5,19:00,,7.3,,1,,64,,23,,6,,32.2,,101.96,,,,,,Mainly Clear
2012-04-05 20:00,2012,4,5,20:00,,7.2,,1.1,,65,,19,,6,,32.2,,102.01,,,,,,Mainly Clear
2012-04-05 21:00,2012,4,5,21:00,,6.2,,0.5,,67,,15,,6,,32.2,,102.05,,,,,,Mainly Clear
2012-04-05 22:00,2012,4,5,22:00,,5.5,,0.3,,69,,9,,4,,32.2,,102.05,,,,,,Mainly Clear
2012-04-05 23:00,2012,4,5,23:00,,4.2,,0.6,,77,,6,,7,,32.2,,102.06,,,,,,Mainly Clear
2012-04-06 00:00,2012,4,6,00:00,,3.6,,0.3,,79,,9,,15,,32.2,,102.1,,,,,,Mainly Clear
2012-04-06 01:00,2012,4,6,01:00,,3.3,,0.1,,80,,8,,11,,32.2,,102.12,,,,,,Mainly Clear
2012-04-06 02:00,2012,4,6,02:00,,3.5,,0.1,,78,,7,,11,,32.2,,102.14,,,,,,Mainly Clear
2012-04-06 03:00,2012,4,6,03:00,,2.4,,-1,,78,,8,,6,,32.2,,102.16,,,,,,Mainly Clear
2012-04-06 04:00,2012,4,6,04:00,,3.6,,0.2,,78,,,,0,,32.2,,102.16,,,,,,Mostly Cloudy
2012-04-06 05:00,2012,4,6,05:00,,3.9,,0.4,,78,,7,,7,,32.2,,102.22,,,,,,Mostly Cloudy
2012-04-06 06:00,2012,4,6,06:00,,4.6,,1.1,,78,,9,,9,,32.2,,102.29,,,,,,Mostly Cloudy
2012-04-06 07:00,2012,4,6,07:00,,5.3,,1.7,,78,,8,,11,,24.1,,102.36,,,,,,Cloudy
2012-04-06 08:00,2012,4,6,08:00,,5.8,,1.6,,74,,10,,11,,24.1,,102.42,,,,,,Cloudy
2012-04-06 09:00,2012,4,6,09:00,,6.6,,2.4,,75,,10,,13,,24.1,,102.47,,,,,,Rain Showers
2012-04-06 10:00,2012,4,6,10:00,,7,,2.6,,74,,14,,7,,24.1,,102.5,,,,,,Mostly Cloudy
2012-04-06 11:00,2012,4,6,11:00,,8.8,,4,,72,,22,,6,,24.1,,102.5,,,,,,Mostly Cloudy
2012-04-06 12:00,2012,4,6,12:00,,7.9,,2.8,,70,,26,,13,,24.1,,102.48,,,,,,Rain Showers
2012-04-06 13:00,2012,4,6,13:00,,9.3,,4.3,,71,,26,,13,,24.1,,102.48,,,,,,Mainly Clear
2012-04-06 14:00,2012,4,6,14:00,,10.4,,4.3,,66,,29,,9,,24.1,,102.46,,,,,,Mainly Clear
2012-04-06 15:00,2012,4,6,15:00,,9.5,,3.9,,68,,23,,17,,24.1,,102.46,,,,,,Mainly Clear
2012-04-06 16:00,2012,4,6,16:00,,10.4,,2.3,,57,,25,,11,,24.1,,102.47,,,,,,Mostly Cloudy
2012-04-06 17:00,2012,4,6,17:00,,9.7,,2.1,,59,,24,,7,,24.1,,102.47,,,,,,Mainly Clear
2012-04-06 18:00,2012,4,6,18:00,,8.8,,2.1,,63,,24,,9,,24.1,,102.48,,,,,,Mainly Clear
2012-04-06 19:00,2012,4,6,19:00,,7.7,,2.2,,68,,23,,4,,24.1,,102.5,,,,,,Mainly Clear
2012-04-06 20:00,2012,4,6,20:00,,7.7,,2.3,,69,,,,0,,24.1,,102.54,,,,,,Mainly Clear
2012-04-06 21:00,2012,4,6,21:00,,6.2,,1.4,,71,,9,,6,,24.1,,102.57,,,,,,Mainly Clear
2012-04-06 22:00,2012,4,6,22:00,,4.2,,0.1,,75,,7,,9,,24.1,,102.58,,,,,,Mainly Clear
2012-04-06 23:00,2012,4,6,23:00,,4.8,,0.8,,75,,6,,11,,24.1,,102.59,,,,,,Mainly Clear
2012-04-07 00:00,2012,4,7,00:00,,3.6,,-0.2,,76,,8,,11,,24.1,,102.59,,,,,,Mainly Clear
2012-04-07 01:00,2012,4,7,01:00,,4.1,,0.1,,75,,6,,13,,24.1,,102.63,,,,,,Mainly Clear
2012-04-07 02:00,2012,4,7,02:00,,3.2,,-0.7,,76,,9,,11,,24.1,,102.65,,,,,,Clear
2012-04-07 03:00,2012,4,7,03:00,,2.5,,-0.9,,78,,9,,6,,24.1,,102.64,,,,,,Clear
2012-04-07 04:00,2012,4,7,04:00,,3.2,,-0.7,,76,,11,,6,,24.1,,102.65,,,,,,Mainly Clear
2012-04-07 05:00,2012,4,7,05:00,,1.7,,-1.3,,80,,10,,6,,24.1,,102.62,,,,,,Mainly Clear
2012-04-07 06:00,2012,4,7,06:00,,2.8,,-0.8,,77,,,,0,,24.1,,102.63,,,,,,Mainly Clear
2012-04-07 07:00,2012,4,7,07:00,,3.8,,-0.1,,76,,34,,4,,32.2,,102.64,,,,,,Clear
2012-04-07 08:00,2012,4,7,08:00,,6.5,,1.2,,69,,23,,4,,32.2,,102.63,,,,,,Clear
2012-04-07 09:00,2012,4,7,09:00,,7.9,,1.2,,63,,26,,15,,32.2,,102.65,,,,,,Clear
2012-04-07 10:00,2012,4,7,10:00,,9.1,,1.6,,59,,29,,13,,48.3,,102.65,,,,,,Clear
2012-04-07 11:00,2012,4,7,11:00,,8.9,,3.2,,67,,28,,19,,48.3,,102.64,,,,,,Clear
2012-04-07 12:00,2012,4,7,12:00,,10.1,,4.1,,66,,30,,19,,48.3,,102.57,,,,,,Clear
2012-04-07 13:00,2012,4,7,13:00,,10.3,,4.1,,65,,29,,22,,48.3,,102.5,,,,,,Clear
2012-04-07 14:00,2012,4,7,14:00,,10.4,,4.2,,65,,29,,26,,48.3,,102.45,,,,,,Clear
2012-04-07 15:00,2012,4,7,15:00,,10.9,,4.5,,65,,30,,28,,48.3,,102.4,,,,,,Clear
2012-04-07 16:00,2012,4,7,16:00,,10.4,,3,,60,,30,,28,,48.3,,102.38,,,,,,Clear
2012-04-07 17:00,2012,4,7,17:00,,10.3,,2.3,,58,,31,,20,,48.3,,102.31,,,,,,Mainly Clear
2012-04-07 18:00,2012,4,7,18:00,,9.8,,2.6,,61,,31,,19,,48.3,,102.28,,,,,,Mainly Clear
2012-04-07 19:00,2012,4,7,19:00,,8.8,,1.4,,60,,32,,19,,48.3,,102.27,,,,,,Clear
2012-04-07 20:00,2012,4,7,20:00,,8.8,,-0.4,,52,,34,,9,,48.3,,102.26,,,,,,Clear
2012-04-07 21:00,2012,4,7,21:00,,8.2,,-2.2,,48,,,,0,,48.3,,102.28,,,,,,Clear
2012-04-07 22:00,2012,4,7,22:00,,7.3,,-1.1,,55,,24,,9,,48.3,,102.31,,,,,,Clear
2012-04-07 23:00,2012,4,7,23:00,,6.2,,-1.3,,59,,,,0,,32.2,,102.33,,,,,,Clear
2012-04-08 00:00,2012,4,8,00:00,,5.7,,-1.5,,60,,5,,7,,32.2,,102.35,,,,,,Clear
2012-04-08 01:00,2012,4,8,01:00,,5.9,,-1.4,,59,,2,,6,,32.2,,102.34,,,,,,Mostly Cloudy
2012-04-08 02:00,2012,4,8,02:00,,4,,-1.6,,67,,32,,9,,32.2,,102.29,,,,,,Mostly Cloudy
2012-04-08 03:00,2012,4,8,03:00,,5,,-0.6,,67,,2,,4,,32.2,,102.25,,,,,,Mainly Clear
2012-04-08 04:00,2012,4,8,04:00,,4.9,,0.4,,73,,,,0,,32.2,,102.22,,,,,,Mostly Cloudy
2012-04-08 05:00,2012,4,8,05:00,,4.1,,-2.3,,63,,,,0,,32.2,,102.21,,,,,,Mainly Clear
2012-04-08 06:00,2012,4,8,06:00,,3.8,,-2,,66,,36,,6,,32.2,,102.23,,,,,,Mostly Cloudy
2012-04-08 07:00,2012,4,8,07:00,,7.3,,2.2,,70,,4,,4,,32.2,,102.22,,,,,,Mostly Cloudy
2012-04-08 08:00,2012,4,8,08:00,,9,,3.5,,68,,31,,11,,48.3,,102.22,,,,,,Mostly Cloudy
2012-04-08 09:00,2012,4,8,09:00,,10,,3.9,,66,,30,,13,,48.3,,102.22,,,,,,Mostly Cloudy
2012-04-08 10:00,2012,4,8,10:00,,10.4,,4.2,,65,,30,,19,,48.3,,102.2,,,,,,Mostly Cloudy
2012-04-08 11:00,2012,4,8,11:00,,11.6,,4.3,,61,,30,,22,,48.3,,102.17,,,,,,Mostly Cloudy
2012-04-08 12:00,2012,4,8,12:00,,12,,4.7,,61,,29,,22,,48.3,,102.11,,,,,,Mostly Cloudy
2012-04-08 13:00,2012,4,8,13:00,,11.2,,4.4,,63,,29,,24,,48.3,,102.05,,,,,,Cloudy
2012-04-08 14:00,2012,4,8,14:00,,11,,4.1,,62,,31,,20,,48.3,,101.97,,,,,,Cloudy
2012-04-08 15:00,2012,4,8,15:00,,12.2,,5.1,,62,,30,,22,,48.3,,101.89,,,,,,Cloudy
2012-04-08 16:00,2012,4,8,16:00,,10.7,,4.5,,65,,30,,28,,48.3,,101.85,,,,,,Mostly Cloudy
2012-04-08 17:00,2012,4,8,17:00,,11,,5.1,,67,,32,,28,,48.3,,101.81,,,,,,Mostly Cloudy
2012-04-08 18:00,2012,4,8,18:00,,9.5,,5.8,,78,,31,,20,,48.3,,101.75,,,,,,Mostly Cloudy
2012-04-08 19:00,2012,4,8,19:00,,8.8,,5,,77,,31,,20,,48.3,,101.73,,,,,,Mostly Cloudy
2012-04-08 20:00,2012,4,8,20:00,,8.8,,4.4,,74,,31,,19,,48.3,,101.71,,,,,,Mostly Cloudy
2012-04-08 21:00,2012,4,8,21:00,,7.7,,4.2,,78,,31,,17,,48.3,,101.71,,,,,,Mostly Cloudy
2012-04-08 22:00,2012,4,8,22:00,,8.3,,3.2,,70,,30,,22,,48.3,,101.71,,,,,,Mostly Cloudy
2012-04-08 23:00,2012,4,8,23:00,,8.4,,4.2,,75,,30,,19,,32.2,,101.7,,,,,,Mostly Cloudy
2012-04-09 00:00,2012,4,9,00:00,,8.4,,4.3,,75,,32,,19,,32.2,,101.66,,,,,,Mostly Cloudy
2012-04-09 01:00,2012,4,9,01:00,,8.3,,4.1,,75,,31,,15,,32.2,,101.65,,,,,,Mostly Cloudy
2012-04-09 02:00,2012,4,9,02:00,,8.8,,4.6,,75,,32,,17,,32.2,,101.62,,,,,,Cloudy
2012-04-09 03:00,2012,4,9,03:00,,7.5,,3.7,,77,,,,0,,32.2,,101.59,,,,,,Mostly Cloudy
2012-04-09 04:00,2012,4,9,04:00,,6.4,,2.8,,78,,8,,6,,32.2,,101.56,,,,,,Mostly Cloudy
2012-04-09 05:00,2012,4,9,05:00,,6.6,,2.5,,75,,34,,7,,32.2,,101.54,,,,,,Mostly Cloudy
2012-04-09 06:00,2012,4,9,06:00,,6.5,,2.9,,78,,,,0,,32.2,,101.52,,,,,,Cloudy
2012-04-09 07:00,2012,4,9,07:00,,9.5,,4.1,,69,,16,,4,,32.2,,101.55,,,,,,Cloudy
2012-04-09 08:00,2012,4,9,08:00,,10.7,,3.5,,61,,33,,7,,32.2,,101.54,,,,,,Mainly Clear
2012-04-09 09:00,2012,4,9,09:00,,11.6,,5.6,,67,,31,,9,,32.2,,101.59,,,,,,Mostly Cloudy
2012-04-09 10:00,2012,4,9,10:00,,12.3,,6.3,,67,,28,,17,,32.2,,101.54,,,,,,Mostly Cloudy
2012-04-09 11:00,2012,4,9,11:00,,13.1,,6.7,,65,,29,,13,,32.2,,101.46,,,,,,Mainly Clear
2012-04-09 12:00,2012,4,9,12:00,,12.2,,7.9,,75,,29,,15,,48.3,,101.43,,,,,,Cloudy
2012-04-09 13:00,2012,4,9,13:00,,13.8,,6.6,,62,,29,,17,,48.3,,101.35,,,,,,Mostly Cloudy
2012-04-09 14:00,2012,4,9,14:00,,14.4,,5.5,,55,,30,,15,,48.3,,101.29,,,,,,Mostly Cloudy
2012-04-09 15:00,2012,4,9,15:00,,14.6,,4.9,,52,,31,,15,,48.3,,101.25,,,,,,Cloudy
2012-04-09 16:00,2012,4,9,16:00,,14.6,,5.9,,56,,30,,13,,48.3,,101.23,,,,,,Cloudy
2012-04-09 17:00,2012,4,9,17:00,,14.6,,3.4,,47,,31,,11,,48.3,,101.14,,,,,,Cloudy
2012-04-09 18:00,2012,4,9,18:00,,12.9,,4.2,,55,,30,,11,,48.3,,101.11,,,,,,Cloudy
2012-04-09 19:00,2012,4,9,19:00,,10.8,,7.3,,79,,25,,9,,48.3,,101.13,,,,,,Cloudy
2012-04-09 20:00,2012,4,9,20:00,,10.2,,6,,75,,31,,9,,48.3,,101.14,,,,,,Cloudy
2012-04-09 21:00,2012,4,9,21:00,,10.4,,5.8,,73,,23,,6,,48.3,,101.18,,,,,,Mostly Cloudy
